PATIENT_ID,PATIENT_NAME,ADDRESS,MOBILE_NUMBER
P01,VIJAY_REDDY,NAKERIKALLU,9123456789
P02,LAKSHMIAH,ROMPICHERLA,9000000000
P03,VEERAYYA,SATULURU,9878787887
P04,ABDULLAH,NARASARAOPET,9767676767
P05,JOHNY,NARASARAOPET,9454545454
P06,MASTHANVALI,NAKERIKALLU,9454545556
P07,SEETHAMMA,MARRICHETTUPALEM,9090909090
P08,MOSHE,KUNKALAGUNTA,9012121212
P09,RAMYA,KUNKALAGUNTA,9676745456
P10,REEHANA,NAKERIKALLU,9123123321
P11,SESHAMMA,DASARIPALEM,9564564654
P12,SWAPNA,MARRICHETTUPALEM,9456456456
P13,SUMATHI,NARASARAOPET,9123123123
P14,PADMAVATHI,NARASARAOPET,9456456456
P15,SRINIVASARAO,NARASARAOPET,9789789789
P16,ANNAPURNA,VINUKONDA,8998798798
P17,KOTAYYA,VARAVAKALLU,8345345345
P18,KRUPAMMA,NAKERIKALLU,8123123123
P19,PARVATHI,RUPENUGUNTA,8456456456
P20,LINGIAH,RUPENUGUNTA,9654565456
P21,NARSI_REDDY,LINGAMGUNTLA,8345345345
P22,VIJAYA_LAKSHMI,NARASARAOPET,7890890890
P23,NIRMALA,NAKERIKALLU,9345345345
P24,ANIL_KUMAR,ROMPICHERLA,8456456456
P25,VENKATESH,NARASARAOPET,9876876876
P26,SRIKANTTH,GUNTUR,9543543543
P27,NAGENDRA,CHILAKALURIPET,9321321321
P28,MANOJ,GUNTUR,8321654987
